[2024-12-23T10:51:03.933Z] Request from IP: ::1, URL: /
[2024-12-23T10:51:03.976Z] Request from IP: ::1, URL: /favicon.ico
[2024-12-23T11:07:04.689Z] Request from IP: ::1, URL: /
[2024-12-23T11:07:04.758Z] Request from IP: ::1, URL: /favicon.ico
[2024-12-23T11:07:13.479Z] Request from IP: ::1, URL: /about
[2024-12-23T11:07:13.509Z] Request from IP: ::1, URL: /favicon.ico
[2024-12-23T11:07:52.870Z] Request from IP: ::1, URL: /about
[2024-12-23T11:07:52.918Z] Request from IP: ::1, URL: /favicon.ico
[2024-12-23T11:08:36.690Z] Request from IP: ::1, URL: /about
[2024-12-23T11:08:36.718Z] Request from IP: ::1, URL: /favicon.ico
[2024-12-23T11:09:25.699Z] Request from IP: ::1, URL: /about-me
[2024-12-23T11:09:25.729Z] Request from IP: ::1, URL: /favicon.ico
[2024-12-23T11:11:52.865Z] Request from IP: ::1, URL: /about-me
[2024-12-23T11:11:52.891Z] Request from IP: ::1, URL: /favicon.ico
[2024-12-23T11:11:54.219Z] Request from IP: ::1, URL: /about-me
[2024-12-23T11:11:54.240Z] Request from IP: ::1, URL: /favicon.ico
[2024-12-23T11:12:00.118Z] Request from IP: ::1, URL: /about
[2024-12-23T11:12:00.150Z] Request from IP: ::1, URL: /favicon.ico
